Date,DATE,WS_1,WS_2,WS_3,WS_4,WS_5,WS_6,WS_7,WS_8,WS_9
91210,12/10/09,2.7,2.6,2.6,2.9,2.8,2.8,1,1,1.1
91211,12/11/09,2.6,2.7,3.2,2.5,2.9,2.8,1,1,1.3
91212,12/12/09,0,0,0,0,0,0,0,0,0
91213,12/13/09,9.7,9.3,9.3,10.2,9.8,9.6,11.5,11.1,11.7
91214,12/14/09,2.6,2.5,2.5,2.7,3.3,4.2,1.3,1.3,1.1
91215,12/15/09,8.9,8.6,8.7,9.3,10.1,11.6,9.2,8.8,7.8
91216,12/16/09,0,0,0,0,0,0,0,0,0
91217,12/17/09,0,0,0,0,0,0,0,0,0
91218,12/18/09,0,0,0,0,0,0,0,0,0
91219,12/19/09,0,0,0,0,0,0,0,0,0
91220,12/20/09,0,0,0,0,0,0,0,0,0
91221,12/21/09,0,0,0,0,0,0,0,0,0
91222,12/22/09,0,0,0,0,0,0,0,0,0
91223,12/23/09,0,0,0,0,0,0,0,0,0
91224,12/24/09,0,0,0,0,0,0,0,0,0
91225,12/25/09,0,0,0,0,0,0,0,0,0
91226,12/26/09,0,0,0,0,0,0,0,0,0
91227,12/27/09,30.2,29.9,30.6,32.7,31.3,31.5,35.3,37.9,38.7
91228,12/28/09,10.3,9.9,9.6,10.7,11.1,13.1,11.2,11.8,13.7
91229,12/29/09,2.6,2.6,2.7,2.6,3.2,4.2,4.2,4.3,3.5
91230,12/30/09,0,0,0,0,0,0,0,0,0
91231,12/31/09,1.8,1.7,1.6,1.9,1.8,1.8,1.4,1.5,1.5
100101,1/1/10,2.7,2.6,2.5,2.8,2.6,2.6,3.4,3.6,3.2
100102,1/2/10,7.7,8,8.7,7.8,8.4,8.7,5.6,6.1,6.8
100103,1/3/10,2.2,2.5,2.9,2.1,2.9,3.4,0.8,0.8,1.3
100104,1/4/10,0,0,0,0,0,0,0,0,0
100105,1/5/10,0,0,0,0,0,0,0,0,0
100106,1/6/10,0,0,0,0,0,0,0,0,0
100107,1/7/10,0,0,0,0,0,0,0,0,0
100108,1/8/10,0,0,0,0,0,0,0,0,0
100109,1/9/10,0,0,0,0,0,0,0,0,0
100110,1/10/10,0,0,0,0,0,0,0,0,0
100111,1/11/10,0,0,0,0,0,0,0,0,0
100112,1/12/10,0,0,0,0,0,0,0,0,0
100113,1/13/10,0,0,0,0,0,0,0,0,0
100114,1/14/10,0,0,0,0,0,0,0,0,0
100115,1/15/10,0,0,0,0,0,0,0,0,0
100116,1/16/10,0,0,0,0,0,0,0,0,0
100117,1/17/10,1,0.9,0.8,1,1,1.1,1.6,1.8,2.1
100118,1/18/10,9.1,9.4,9.2,8.9,9.6,10.8,8.9,9.2,10.8
100119,1/19/10,5.8,5.8,5.5,5.8,5.5,5.4,3.5,3.7,3.9
100120,1/20/10,0.7,0.8,0.8,0.6,0.7,0.8,3.2,2.8,1.1
100121,1/21/10,0,0,0,0,0,0,0,0,0
100122,1/22/10,0,0,0,0,0,0,0,0,0
100123,1/23/10,0,0,0,0,0,0,0,0,0
100124,1/24/10,1.2,1.1,1,1.3,1,0.8,1.3,1.3,1.2
100125,1/25/10,49.4,47.6,49.7,51.7,50.1,52.3,54.9,55.7,54.9
100126,1/26/10,0,0,0,0,0,0,0,0,0
100127,1/27/10,0,0,0,0,0,0,0,0,0
100128,1/28/10,5.8,5.5,5.1,6.6,7.5,7.6,4.1,4.3,4.8
100129,1/29/10,0,0,0,0,0,0,0,0,0
100130,1/30/10,0,0,0,0,0,0,0,0,0
100131,1/31/10,0,0,0,0,0,0,0,0,0
